Currency Code|Conversion Rate|Base Currency|Conversion Date|Load Timestamp
CAD|1.3448367167|USD|2020-06-05|2020-06-06 21:00:01.818943
HKD|7.7501323919|USD|2020-06-05|2020-06-06 21:00:01.818973
ISK|131.4210061783|USD|2020-06-05|2020-06-06 21:00:01.818980
PHP|49.8296557811|USD|2020-06-05|2020-06-06 21:00:01.818985
DKK|6.5811120918|USD|2020-06-05|2020-06-06 21:00:01.818988
HUF|304.1659311562|USD|2020-06-05|2020-06-06 21:00:01.818993
CZK|23.4677846425|USD|2020-06-05|2020-06-06 21:00:01.818996
GBP|0.7894792586|USD|2020-06-05|2020-06-06 21:00:01.819001
RON|4.2702559576|USD|2020-06-05|2020-06-06 21:00:01.819012
SEK|9.2012356575|USD|2020-06-05|2020-06-06 21:00:01.819017
IDR|14018.0052956752|USD|2020-06-05|2020-06-06 21:00:01.819021
INR|75.5781112092|USD|2020-06-05|2020-06-06 21:00:01.819025
BRL|5.059929391|USD|2020-06-05|2020-06-06 21:00:01.819029
RUB|68.6809355693|USD|2020-06-05|2020-06-06 21:00:01.819033
HRK|6.6827007944|USD|2020-06-05|2020-06-06 21:00:01.819036
JPY|109.2409532215|USD|2020-06-05|2020-06-06 21:00:01.819040
THB|31.4651368049|USD|2020-06-05|2020-06-06 21:00:01.819044
CHF|0.9590467785|USD|2020-06-05|2020-06-06 21:00:01.819048
EUR|0.8826125331|USD|2020-06-05|2020-06-06 21:00:01.819051
MYR|4.2669902913|USD|2020-06-05|2020-06-06 21:00:01.819055
BGN|1.7262135922|USD|2020-06-05|2020-06-06 21:00:01.819059
TRY|6.7737864078|USD|2020-06-05|2020-06-06 21:00:01.819062
CNY|7.0917034422|USD|2020-06-05|2020-06-06 21:00:01.819066
NOK|9.3030008826|USD|2020-06-05|2020-06-06 21:00:01.819070
NZD|1.5350397176|USD|2020-06-05|2020-06-06 21:00:01.819073
ZAR|16.8422771403|USD|2020-06-05|2020-06-06 21:00:01.819077
USD|1.0|USD|2020-06-05|2020-06-06 21:00:01.819083
MXN|21.7533980583|USD|2020-06-05|2020-06-06 21:00:01.819087
SGD|1.392321271|USD|2020-06-05|2020-06-06 21:00:01.819091
AUD|1.4322153575|USD|2020-06-05|2020-06-06 21:00:01.819095
ILS|3.4573698147|USD|2020-06-05|2020-06-06 21:00:01.819098
KRW|1205.2691968226|USD|2020-06-05|2020-06-06 21:00:01.819102
PLN|3.9210061783|USD|2020-06-05|2020-06-06 21:00:01.819106
CAD|1.3448367167|USD|2020-06-05|2020-06-06 22:00:02.709545
HKD|7.7501323919|USD|2020-06-05|2020-06-06 22:00:02.709615
ISK|131.4210061783|USD|2020-06-05|2020-06-06 22:00:02.709634
PHP|49.8296557811|USD|2020-06-05|2020-06-06 22:00:02.709650
DKK|6.5811120918|USD|2020-06-05|2020-06-06 22:00:02.709665
HUF|304.1659311562|USD|2020-06-05|2020-06-06 22:00:02.709681
CZK|23.4677846425|USD|2020-06-05|2020-06-06 22:00:02.709695
GBP|0.7894792586|USD|2020-06-05|2020-06-06 22:00:02.709711
RON|4.2702559576|USD|2020-06-05|2020-06-06 22:00:02.709753
SEK|9.2012356575|USD|2020-06-05|2020-06-06 22:00:02.709769
IDR|14018.0052956752|USD|2020-06-05|2020-06-06 22:00:02.709786
INR|75.5781112092|USD|2020-06-05|2020-06-06 22:00:02.709801
BRL|5.059929391|USD|2020-06-05|2020-06-06 22:00:02.709815
RUB|68.6809355693|USD|2020-06-05|2020-06-06 22:00:02.709830
HRK|6.6827007944|USD|2020-06-05|2020-06-06 22:00:02.709845
JPY|109.2409532215|USD|2020-06-05|2020-06-06 22:00:02.709859
THB|31.4651368049|USD|2020-06-05|2020-06-06 22:00:02.709874
CHF|0.9590467785|USD|2020-06-05|2020-06-06 22:00:02.709889
EUR|0.8826125331|USD|2020-06-05|2020-06-06 22:00:02.709903
MYR|4.2669902913|USD|2020-06-05|2020-06-06 22:00:02.709917
BGN|1.7262135922|USD|2020-06-05|2020-06-06 22:00:02.709931
TRY|6.7737864078|USD|2020-06-05|2020-06-06 22:00:02.709945
CNY|7.0917034422|USD|2020-06-05|2020-06-06 22:00:02.709960
NOK|9.3030008826|USD|2020-06-05|2020-06-06 22:00:02.709974
NZD|1.5350397176|USD|2020-06-05|2020-06-06 22:00:02.709988
ZAR|16.8422771403|USD|2020-06-05|2020-06-06 22:00:02.710002
USD|1.0|USD|2020-06-05|2020-06-06 22:00:02.710017
